id,publication_year,cited_by_count,author_ids
https://openalex.org/W2081754278,2007,20,['https://openalex.org/A5037130457']
https://openalex.org/W2140091805,2009,18,['https://openalex.org/A5037130457']
https://openalex.org/W2116531932,2002,21,"['https://openalex.org/A5037130457', 'https://openalex.org/A5007642133', 'https://openalex.org/A5041982650', 'https://openalex.org/A5079546704']"
https://openalex.org/W2114912515,2007,16,"['https://openalex.org/A5011434213', 'https://openalex.org/A5037130457']"
https://openalex.org/W1605339395,2011,12,"['https://openalex.org/A5037130457', 'https://openalex.org/A5021134440']"
https://openalex.org/W2158722162,2006,16,"['https://openalex.org/A5019244166', 'https://openalex.org/A5019344585', 'https://openalex.org/A5037130457']"
https://openalex.org/W2726248338,2017,668,"['https://openalex.org/A5033639139', 'https://openalex.org/A5087005512', 'https://openalex.org/A5064748489', 'https://openalex.org/A5014587310', 'https://openalex.org/A5044061507', 'https://openalex.org/A5091272738']"
https://openalex.org/W2583638605,2016,412,"['https://openalex.org/A5033639139', 'https://openalex.org/A5076259865', 'https://openalex.org/A5043228682']"
https://openalex.org/W2964262738,2016,187,"['https://openalex.org/A5033639139', 'https://openalex.org/A5049064405', 'https://openalex.org/A5091272738']"
https://openalex.org/W2948756736,2019,105,"['https://openalex.org/A5064748489', 'https://openalex.org/A5033639139', 'https://openalex.org/A5087005512', 'https://openalex.org/A5045969229', 'https://openalex.org/A5069932474', 'https://openalex.org/A5032035644', 'https://openalex.org/A5091272738', 'https://openalex.org/A5044061507']"
https://openalex.org/W4317757464,2023,42,"['https://openalex.org/A5049659945', 'https://openalex.org/A5061686151', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W1868427966,2015,86,"['https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W3104982372,2020,67,"['https://openalex.org/A5049659945', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W3154272574,2021,38,"['https://openalex.org/A5049659945', 'https://openalex.org/A5061686151', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W2582919740,2017,46,"['https://openalex.org/A5033639139', 'https://openalex.org/A5043228682', 'https://openalex.org/A5076259865', 'https://openalex.org/A5058412746']"
https://openalex.org/W2952129646,2014,46,"['https://openalex.org/A5033639139', 'https://openalex.org/A5011012964', 'https://openalex.org/A5087088138']"
https://openalex.org/W3114914047,2021,22,"['https://openalex.org/A5072651383', 'https://openalex.org/A5043228682', 'https://openalex.org/A5076259865', 'https://openalex.org/A5033639139']"
https://openalex.org/W1787735662,2012,42,"['https://openalex.org/A5085451600', 'https://openalex.org/A5017982658', 'https://openalex.org/A5033639139', 'https://openalex.org/A5049246408', 'https://openalex.org/A5003887059', 'https://openalex.org/A5058071755', 'https://openalex.org/A5023765219', 'https://openalex.org/A5029105520']"
https://openalex.org/W3105239586,2019,27,"['https://openalex.org/A5026198819', 'https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W3031170804,2020,22,"['https://openalex.org/A5023363049', 'https://openalex.org/A5033639139', 'https://openalex.org/A5090570042']"
https://openalex.org/W2788090147,2018,26,"['https://openalex.org/A5056228425', 'https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W2018016175,2012,28,"['https://openalex.org/A5033639139', 'https://openalex.org/A5085451600', 'https://openalex.org/A5029105520']"
https://openalex.org/W2986671035,2019,21,"['https://openalex.org/A5056585720', 'https://openalex.org/A5068796595', 'https://openalex.org/A5015848182', 'https://openalex.org/A5033639139', 'https://openalex.org/A5021747883', 'https://openalex.org/A5057736319', 'https://openalex.org/A5074450042', 'https://openalex.org/A5032134965', 'https://openalex.org/A5040915036']"
https://openalex.org/W3109432658,2020,16,"['https://openalex.org/A5026695952', 'https://openalex.org/A5018293580', 'https://openalex.org/A5064857767', 'https://openalex.org/A5046665314', 'https://openalex.org/A5004031088', 'https://openalex.org/A5004949920', 'https://openalex.org/A5033639139']"
https://openalex.org/W1568554595,2014,22,"['https://openalex.org/A5033639139', 'https://openalex.org/A5011012964', 'https://openalex.org/A5087088138']"
https://openalex.org/W2788040807,2018,15,"['https://openalex.org/A5057291277', 'https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W2008318970,2011,101,"['https://openalex.org/A5005475843', 'https://openalex.org/A5058166569', 'https://openalex.org/A5077100651']"
https://openalex.org/W1532218787,2013,99,"['https://openalex.org/A5005475843', 'https://openalex.org/A5041562246', 'https://openalex.org/A5000497498', 'https://openalex.org/A5064602852']"
https://openalex.org/W2086091240,2009,108,"['https://openalex.org/A5018641523', 'https://openalex.org/A5005475843', 'https://openalex.org/A5007747335', 'https://openalex.org/A5053808669', 'https://openalex.org/A5065243939', 'https://openalex.org/A5084077819', 'https://openalex.org/A5083971663', 'https://openalex.org/A5084419726']"
https://openalex.org/W1996296197,2014,45,"['https://openalex.org/A5018641523', 'https://openalex.org/A5000382350', 'https://openalex.org/A5053053957', 'https://openalex.org/A5005475843', 'https://openalex.org/A5052503594', 'https://openalex.org/A5025401900', 'https://openalex.org/A5018952263', 'https://openalex.org/A5077561713', 'https://openalex.org/A5012436929']"
https://openalex.org/W2769379405,2017,28,"['https://openalex.org/A5003551603', 'https://openalex.org/A5009802656', 'https://openalex.org/A5005475843']"
https://openalex.org/W2772309654,2017,21,"['https://openalex.org/A5005475843', 'https://openalex.org/A5018952263', 'https://openalex.org/A5064602852']"
https://openalex.org/W2997505221,2019,15,"['https://openalex.org/A5021237541', 'https://openalex.org/A5018641523', 'https://openalex.org/A5005475843', 'https://openalex.org/A5012436929']"
https://openalex.org/W2020549001,2013,17,"['https://openalex.org/A5086948419', 'https://openalex.org/A5005475843']"
https://openalex.org/W2298612130,2016,438,"['https://openalex.org/A5048847549', 'https://openalex.org/A5062793472', 'https://openalex.org/A5085139454', 'https://openalex.org/A5088539840', 'https://openalex.org/A5035808622', 'https://openalex.org/A5089752831', 'https://openalex.org/A5017095669']"
https://openalex.org/W2109207218,2009,376,"['https://openalex.org/A5063201076', 'https://openalex.org/A5088539840']"
https://openalex.org/W1911061567,2011,278,"['https://openalex.org/A5038766869', 'https://openalex.org/A5088539840', 'https://openalex.org/A5017742384']"
https://openalex.org/W1968478384,2012,230,"['https://openalex.org/A5063837575', 'https://openalex.org/A5033081182', 'https://openalex.org/A5088539840', 'https://openalex.org/A5077591903', 'https://openalex.org/A5025967818']"
https://openalex.org/W1983280144,2013,181,"['https://openalex.org/A5038766869', 'https://openalex.org/A5017742384', 'https://openalex.org/A5017095669', 'https://openalex.org/A5088539840']"
https://openalex.org/W1998146322,2009,193,"['https://openalex.org/A5088539840', 'https://openalex.org/A5032401821', 'https://openalex.org/A5059867481', 'https://openalex.org/A5044191252', 'https://openalex.org/A5082930180', 'https://openalex.org/A5004575044', 'https://openalex.org/A5016268748', 'https://openalex.org/A5068695616']"
https://openalex.org/W1904380837,2015,114,"['https://openalex.org/A5044014333', 'https://openalex.org/A5040323504', 'https://openalex.org/A5017095669', 'https://openalex.org/A5088539840']"
https://openalex.org/W2161236168,2015,109,"['https://openalex.org/A5048847549', 'https://openalex.org/A5062793472', 'https://openalex.org/A5088539840', 'https://openalex.org/A5035808622', 'https://openalex.org/A5017095669']"
https://openalex.org/W1623665690,2015,106,"['https://openalex.org/A5003213649', 'https://openalex.org/A5037087050', 'https://openalex.org/A5063166187', 'https://openalex.org/A5029121256', 'https://openalex.org/A5088539840', 'https://openalex.org/A5064827570', 'https://openalex.org/A5082358191']"
https://openalex.org/W3121562087,2015,90,"['https://openalex.org/A5082358191', 'https://openalex.org/A5088539840']"
