Full Name
 José Ignacio Alvarez-Hamelin
 Dimitris Kotzinos
Kayla Duskin
 Kristen Engel
 Emma Spiro
Victoria Yantseva
 Davide Vega
 Matteo Magnani
Dylan Paltra
 Felix Schmidt
 Marius Sältzer
 Lena Masch
Vincent Straub
 Jason Burton
 Michael Geers
Hao Cui
 János Kertész
Jia Lin Cheoh
 Sabine Brunswicker
Hammaad Adam
 Fan Yin
 Mary Hu
 Neil A. Tenenholtz
 Lorin Crawford
 Lester Mackey
 Amir Ghasemian
 Miguel Rivera-Lanas
 Manoel Ribeiro
 Robert West
 Duncan Watts
Martin Hilbert
 Arti Thakur
 Angelita Repetto
Akira Hashimoto
 Sho Tsugawa
 Keiichiro Tsukamoto
 Shintaro Igari
Anne Cathrine Linder
 David Lusseau
Diogo Pacheco
Jonas Alexander Havstein Eriksen
 Christoffer Koch Florczak
Valentina Semenova
 Julian Winkler
Nicholas Buttrick
Mariano Gaston Beiro
 Kyriaki Kalimeri
Spencer Poodiack Parsons
Brennan Klein
Michele Tizzoni
 Elisa Omodei
Tobias Felix Werner
Nils Christopher Köbis
 Iyad Rahwan
 Zoe Rahwan
 Tamer Ajaj
 Clara Bersch
Eric Dignum
Quinn Lanners
 Harsh Parikh
 Cynthia Rudin
 Alexander Volfovsky
 David Page
Amy Smith
 Hope Schroeder
 Michael Cook
 Simon Colton
 Andrew Lippman
Nicolò Pagan
 Joachim Baumann
 Ezzat Elokda
 Giulia De Pasquale
 Saverio Bolognani
 Anikó Hannák
Jan Engler
 Sandipan Sikdar
 Marlene Lutz
 Markus Strohmaier
Maria Sahakyan
 Bedoor AlShebli
 Talal Rahwan
Ceren Budak
 Natalie J. Stroud
 Ashley Muddiman
 Caroline C. Murray
 Yujin Kim
Yoshi Meke Bird
 Sarah Grobe
Dilrukshi Gamage
 Kazutoshi Sasahara
Emily L Wang
 Luca Luceri
 Francesco Pierri
 Emilio Ferrara
Andrew Beers
 Emma Spiro
Antonio Desiderio
 Anna Mancini
 Riccardo Di Clemente
 Giulio Cimini
Sadamori Kojaku
 Robert Mahari
 Sandro Lera
 Alex Pentland
 Yong-Yeol Ahn
 Maciej J. Dańko
 Emilio Zagheni
 Xinyi Zhao
Aditi Dutta
 Chico Q Camargo
 Susan Banducci
Yurie Iwata
 Ichiro Sakata
 Kimitaka Asatani
 Takahiro Miura
Yingxuan Liu
Paulina Pankowska
 Tom Emery
 Adrienne Mendrik
Javier Ureña Carrion
 Fariba Karimi
 Mikko Kivelä
Christian L Vestergaard
 Laetitia Gauvin
 Mathieu Génois
 Márton Karsai
 Mikko Kivelä
 Taro Takaguchi
 Eugenio Valdano
Abdulkadir Celikkanat
 Morten Mørup
Radosław Michalski
 Damian Serwata
 Mateusz Nurek
 Boleslaw K. Szymanski
 Przemyslaw Kazienko
 Tao Jia
Shahar Somin
 Yaniv Altshuler
 Alex Pentland
 Erez Shmueli
Samin Aref
 Hriday Chheda
 Mahdi Mostajabdaveh
Pietro Alessandro Aluffi
 Léo Meynent
 Clemens Stachl
Thomas Louf
 David Sanchez
 Jose Javier Ramasco
 Marton Karsai
Tessa Masis
 Chloe Eggleston
 Lisa Green
 Taylor Jones
 Meghan Armstrong
 Brendan O'Connor
Federico Barrera Lemarchand
 Laura Victoria Lescano
 Julieta Ruiz
 Nuria Caceres
 Facundo Carrillo
 Mariano Sigman
 Joaquín Navajas
Mahasweta Chakraborti
 Stefan Stanciulescu
 Vladimir Filkov
 Seth Frey
Dustin Wright
 Jiaxin Pei
 David Jurgens
 Isabelle Augenstein
 Anna Mancini
 Giulio Cimini
 Riccardo Di Clemente
Wentao Xu
 Bin Wang
 Jianxun Chu
Miriam Hurtado Bodell
 Anastasia Menshikova
Chico Q Camargo
 Ranadheer Malla
 Ana Julia Bonzanini Bernardi
 Isabela Inês
 Rodger Richer
 Camila Tsuzuki
 Beatrice Bonami
Nicolò Alessandro Girardini
 Andrea Passerini
 Ivano Bison
 Fausto Giunchiglia
 Bruno Lepri
Anastasia Menshikova
 Christian Czymara
 Frank van Tubergen
Daniele Gambetta
 Luca Pappalardo
Roberta Rocca
 Kristian Tylén
Federico Zimmerman
 Lucía Pedraza
 Pablo Balenzuela
 Joaquín Navajas
Jonathan Cohen
 Jorge Gil
 Leonardo Rosado
 Marco Pangallo
 Francesco Bonchi
 Gianmarco De Francisci Morales
Matthew Bramwell Bone
Xindi Wang
 Magnus Resch
 Albert-Laszlo Barabasi
Tara Sowrirajan
 Ryan Whalen
 Sourav Medya
 Brian Uzzi
Luisa Carrer
 Lorenzo De Masi
Vjosa Preniqi
 Andreas Kaltenbrunner
 Kyriaki Kalimeri
 Charalampos Saitis
Ole Teutloff
 Otto Kässi
 Eliza Stenzhorn
Douglas Richard Guilbeault
Martin Arvidsson
 Marc Keuschnigg
Matthew Sharpe
Sandor Juhasz
Eddie Rossi
 Marco Agnolon
 Bruno Zamengo
 Francesco Silvestri
Alice Battiston
 Rossano Schifanella
Andrew Renninger
Blas Kolic
 Manuel Tonneau
 Haaya Naushan
 Eaman Jahani
 Karim Lasri
 Niyati Malhotra
 Victor Hugo Orozco-Olvera
 Samuel Fraiberger
Ming-Hung Wang
 Jia-Ru Song
 Yu-Yao Tseng
 Alina Herderich
 Joshua Garland
 Segun Aroyehun
 David Garcia
 Mirta Galesic
Eaman Jahani
 Manuel Tonneau
 Hause Lin
 Niyati Malhotra
 Ibrahim Farouq
 Victor Hugo Orozco-Olvera
 Samuel Fraiberger
 Graham Tierney
 D. Sunshine Hillygus
 Christopher Bail
 Alexander Volfovsky
Yilang Peng
 Tian Yang
Aleksandra Urman
 Mykola Makhortykh
 Stefan Katz
Hugo Subtil
Arnault Chatelain
 Felix Lennert
 Etienne Ollion
 Rubing Shen
 Robert West
 Andreas Spitz
Jan Nikadon
 Lejla Dzanko
 Tomaso Erseghe
 Caterina Suitner
 Michał Olech
 Paweł Jurek
 Magdalena Formanowicz
Yuru Li
Szymon Talaga
 Massimo Stella
 Trevor James Swanson
 Andreia Sofia Teixeira
Filipi Nascimento Silva
Edwin De Jonge
Nate Holers
Lena Mangold
 Camille Roth
Ferdinand Le Coz
 Guillaume Cabanac
 Julien Figeac
Laura Victoria Lescano
 Federico Barrera-Lemarchand
 Julieta Ruiz
 Nuria Caceres
 Facundo Carrillo
 Mariano Sigman
 Joaquín Navajas
Simon Walo
Samsun Knight
 Yakov Bart
 Matt Rocklage
Ziwen Chen
 Amir Goldberg
 Damiano Morando
Aidan Combs
Xinwei Xu
 Alessandro Lomi
 Christoph Stadtfeld
Pantelis P Analytis
 Karthikeya Kaushik
 Stefan Herzog
 Bahador Bahrami
 Ophelia Deroy
Hiroki Takikawa
 Zeyu Lyu
 Zhemeng Xie
 Takaharu Saito
 Aguru Ishibashi
Mark Wittek
 Katharina Burgdorf
Simone Santoni
 Juergen Lerner
 Alessandro Lomi
Yiwei Luo
 Dan Jurafsky
 Mohammad Amaan Haque
 Taberez Ahmed Neyazi
Roney Reis
 Ronaldo Menezes
 Angelo Brayner
 Miguel Souza
Edward Abel
 Sajid Siraj
David Lusseau
Alexander Sobieska
 Cheng Pan
 Maximilian Hampel
 Pia Gutsmiedl
 Rosa Weidenspointner
 Seong-Min Jun
 Valentin Pauli
 Matteo Cinelli
 Carlo Valensise
 Walter Quattrociocchi
 Michele Starnini
 Luca Verginer
 Giona Casiraghi
 Manuel Vimercati
 Matteo Palmonari
Manju Bura
Tenzin Tamang
Amy Munz
 Ralph Schroeder
 Scott A. Hale
 Kobi Hackenburg
 Fabián Aguirre-López
Miguel A González Casado
 Angel Sánchez
Byungkyu Lee
 Kangsan Lee
Anna Sokolova
Haiko Lietz
 Mathieu Génois
 Johann Schaible
 Maria Zens
 Marcos A. Oliveira
Amir Ghasemian
 Nicholas Christakis
Josefine Bohr Brask
 Andreas Koher
 Darren Croft
 Sune Lehmann
Vedran Sekara
 Ivan Dotu
 Manuel Cebrian
 Manuel Garcia-Herranz
Sonja M Schmer-Galunder
 Scott Friedman
Rense Corten
 Laura Boeschoten
Vsevolod Suschevskiy
 Lindsay Larson
 Malte Jung
 Leslie DeChurch
 Noshir Contractor
Pearl Pandya
Leonie Neuhäuser
 Markus Strohmaier
 Fariba Karimi
 Michael T Schaub
Daniel Matter
 Jürgen Pfeffer
Federico Mazzoni
 Andrea Failla
 salvatore Citraro
 Giulio Rossetti
Chiara Chiavenna
 Lorenzo Lucchini
 Laura Leone
 Maria Cucciniello
 Alessia Melegaro
Mathieu Génois
 Maria Zens
 Marcos Oliveira
 Johann Schaible
 Eyal Perry
 Micah Epstein
 Max Lagencamp
 Irmandy Wicaksono
 Cathy Fang
 OcÃ©ane Boulais
 Hope Schroeder
 Ray Funahashi
 Christian Almenar
 Alex Pentland
 Hause Lin
 Gordon Pennycook
 David Rand
Antonio Longa
 Veronica Lachi
 Gabriele Santin
 Monica Bianchini
 Bruno Lepri
 Pietro Lio
 franco scarselli
 Andrea Passerini
Sahil Loomba
 Alessio Vincenzo Cardillo
 Elisabet CarbÃ³ Catalan
 Javier Borge Holthoefer
 Diana Roig Sanz
Ali Yassin
 Abbas Haidar
 Hocine Cherifi
 Hamida Seba
 Olivier Togni
Elena Pavan
 Anna Bertani
 Riccardo Gallotti
Dan Dai
Francesco Pierri
 Matthew R DeVerna
 Kai-Cheng Yang
 David Axelrod
 John Bryden
 Filippo Menczer
Shohei Hisamitsu
 Sho Cho
 Hongshan Jin
 Masashi Toyoda
 Naoki Yoshinaga
Cameron Lai
 Fujio Toriumi
 Mitsuo Yoshida
Haoning Xue
 Jingwen Zhang
Qiusi Sun
 Cuihua Shen
Elisabeth Stockinger
 Riccardo Gallotti
 Carina Ines Hausladen
Dorian Quelle
 Calvin Yixiang Cheng
 Scott A. Hale
Christiern Santos Rasmussen
 Amir Ebrahimi Fard
 Marijn ten Thij
Aliaksandr Herasimenka
 Benedikt Ströbl
 Kate Joynes-Burgess
 Samantha Vanderslott
 Jonathan Bright
 Philip Howard
Scott A Hale
 Adriano Belisario
 Ahmed Nasser Mostafa
Sukrit Venkatagiri
 Kristen Engel
 Ashlyn B. Aske
 Connor Cantrell
Giulio Corsi
Luca Rossi
 Fabio Giglietto
 Giada Marino
 Fabio Giglietto
 Giada Marino
Javier Alvarez-Galvez
 Antonio Rojas-Garcia
 Ilaria Montagni
 Ourania Kolokotroni
 Angelos Kassianos
Salim Chouaki
 Oana Goga
Stephan Lewandowsky
 Fabio Carrella
 David Garcia
 Segun Aroyehun
Hope Schroeder
 Shayne Longpre
 Deb Roy
Alejandro Dinkelberg
 Pádraig Mac Carron
 Michael Quayle
Keeley Erhardt
 Saurabh Khanna
Avi Gamoran
 Michael Gilead
Ke Li
 Jie Hua
 Pu Yan
Fabian Baumann
 Agnieszka Czaplicka
 Iyad Rahwan
Tim Faverjon
 Mahdi Mostajabdaveh
 Hriday Chheda
Carlson Moses Büth
 Anastassia Vybornova
 Michael Szell
Luigi Arminio
PJ Lamberson
 Gülşah Akçakır
Anastassia Vybornova
 Gülşah Akçakır
 Chanuwas Aswamenakul
